EmployeeID,Department,JobTitle,Gender,Salary,TenureYears,EarlyTenureFlag,PerformanceRating,HighPerformerFlag,AbsenceDays_Last6M,AbsenceFrequency_Last6M,LongLeaveFlag,HighAbsenceFlag,AvgOverallScore,LastOverallScore,AvgCommunication,AvgTeamwork,AvgProblemSolving,PerformanceDropFlag,TrainingCount,DaysSinceLastTraining,NoTrainingFlag,YearsSinceLastRaise,SalaryChangeCount,PayStagnationFlag,EngagementScore,CareerStagnationFlag,BurnoutRiskScore,AttritionFlag
PNR-10012,Production,Production Worker,Female,79833,1,1,2,0,10,1,1,1,3,3,2,4,5,0,5,25,0,0,0,0,-0.5,0,0.6,0
PNR-10017,Logistics,Warehouse Associate,Female,82975,3,0,5,1,0,0,0,0,3,4,4,3,3,0,1,799,0,1,2,0,1.7,0,0,0
PNR-10019,Logistics,Logistics Coordinator,Female,83588,6,0,5,1,0,0,0,0,3,3,5,2,3,0,1,1631,0,3,3,1,1.7,0,0,0
PNR-10036,Finance,Financial Analyst,Male,75311,6,0,3,0,0,0,0,0,3,4,4,4,2,0,1,149,0,4,2,1,1.7,0,0,0
PNR-10050,Quality Control,QC Inspector,Non-binary,83366,2,0,5,1,0,0,0,0,2,2,4,2,4,0,2,7,0,1,1,0,1.4,0,0,0
PNR-10094,Research & Development,Scientist,Male,65691,4,0,3,0,10,1,1,1,3,5,3,3,3,0,0,9999,1,2,2,0,-1.5,0,0.6,0
PNR-10095,Sales,Account Manager,Male,150570,8,0,5,1,0,0,0,0,3,5,2,5,4,0,0,9999,1,5,3,1,1.5,1,0,0
PNR-10097,Logistics,Logistics Coordinator,Non-binary,75515,8,0,3,0,0,0,0,0,3,5,3,2,3,0,4,475,0,6,3,1,2.3,0,0,0
PNR-10103,Marketing,Marketing Manager,Male,134467,1,1,4,1,1,1,0,0,3,3,4,2,2,0,0,9999,1,0,0,0,1.2,0,0.6,0
PNR-10111,IT Support,IT Manager,Non-binary,128687,5,0,5,1,0,0,0,0,2,2,4,3,3,0,1,725,0,2,3,0,1.2,0,0,0
PNR-10129,Logistics,Warehouse Associate,Non-binary,61308,5,0,4,1,0,0,0,0,4,5,3,3,5,0,5,183,0,2,3,0,3,0,0,1
PNR-10135,Finance,Financial Analyst,Female,68162,7,0,3,0,0,0,0,0,4,5,3,3,3,0,2,997,0,3,4,1,2.4,0,0,0
PNR-10163,Marketing,Digital Marketer,Female,72003,6,0,4,1,0,0,0,0,2,2,4,3,5,0,4,520,0,4,2,1,1.8,0,0,0
PNR-10166,IT Support,IT Technician,Male,63962,5,0,5,1,0,0,0,0,3,5,4,3,2,0,4,91,0,3,3,1,2.3,0,0,0
PNR-10167,Quality Control,QC Inspector,Male,73744,1,1,2,0,0,0,0,0,3,3,2,5,5,0,2,48,0,0,0,0,1.9,0,0,0
PNR-10173,Production,Production Worker,Female,55655,8,0,3,0,0,0,0,0,4,5,3,3,4,0,5,707,0,5,3,1,3,0,0,0
PNR-1018,Human Resources,HR Coordinator,Female,80181,1,1,4,1,0,0,0,0,4,4,2,4,3,0,0,9999,1,0,0,0,2,0,0,0
PNR-10190,Production,Line Supervisor,Female,73561,8,0,5,1,0,0,0,0,3,5,3,3,2,0,4,732,0,5,3,1,2.3,0,0,1
PNR-10208,Quality Control,QC Inspector,Female,65655,3,0,2,0,3,1,0,0,2,3,3,4,3,0,3,355,0,1,3,0,0.7,0,0.6,0
PNR-1021,Finance,Accountant,Female,56039,8,0,4,1,0,0,0,0,3,5,3,3,3,0,1,1665,0,6,2,1,1.7,0,0,0
PNR-10217,Sales,Regional Sales Manager,Male,168895,6,0,4,1,0,0,0,0,3,5,4,3,3,0,4,279,0,4,3,1,2.3,0,0,0
PNR-10234,Sales,Regional Sales Manager,Non-binary,127642,5,0,4,1,0,0,0,0,2,2,3,2,2,0,1,130,0,2,3,0,1.2,0,0,0
PNR-10248,Marketing,Digital Marketer,Male,83115,2,0,2,0,0,0,0,0,3,3,3,2,2,0,2,480,0,1,2,0,1.9,0,0,0
PNR-10255,Research & Development,Scientist,Female,67940,7,0,2,0,0,0,0,0,3,5,4,2,3,0,5,600,0,4,3,1,2.5,0,0,0
PNR-10259,Marketing,Marketing Manager,Non-binary,122527,4,0,5,1,0,0,0,0,4,5,3,3,4,0,0,9999,1,2,2,0,2,1,0,0
PNR-1026,Research & Development,Research Lead,Female,108711,4,0,5,1,0,0,0,0,3,5,3,4,3,0,2,1120,0,1,3,0,1.9,0,0,0
PNR-10278,Logistics,Logistics Coordinator,Non-binary,58173,6,0,5,1,0,0,0,0,3,3,2,3,3,0,3,454,0,2,4,0,2.1,0,0,1
